groupid,game,crc,grade,notes
248,3,0x73443BAD,0,RGB1
248,2,0x73443BAD,0,RGB1
249,1,0x76503ACE,0,RGB1
249,2,0x76503ACE,0,RGB1
355,1,0x76D06F3A,0,RGB1
355,3,0x76D06F3A,0,RGB1
355,2,0x76D06F3A,0,RGB1
356,2,0x7ACC174A,0,RGB1
356,3,0x7ACC174A,0,RGB1
286,3,0x7B628D02,0,RGB1
286,2,0x7B628D02,0,RGB1
253,3,0x993E0408,0,RGB1
253,2,0x993E0408,0,RGB1
253,1,0x993E0408,0,RGB1
254,2,0xAA19E09C,0,RGB1
254,1,0xAA19E09C,0,RGB1
255,1,0xBA123EB3,0,RGB1
255,2,0xBA123EB3,0,RGB1
256,2,0xBBA67ACF,0,RGB1
256,3,0xBBA67ACF,0,RGB1
361,2,0xBCF30E55,0,RGB1
361,1,0xBCF30E55,0,RGB1
361,3,0xBCF30E55,0,RGB1
362,3,0xBF0EB367,0,RGB1
362,2,0xBF0EB367,0,RGB1
259,3,0xBF1F57A7,0,RGB1
259,2,0xBF1F57A7,0,RGB1
260,1,0xC86CBFA6,0,RGB1
260,2,0xC86CBFA6,0,RGB1
366,1,0xD0D1E5C5,0,RGB1
366,2,0xD0D1E5C5,0,RGB1
262,2,0xD2FE1C92,0,RGB1
262,3,0xD2FE1C92,0,RGB1
262,1,0xD2FE1C92,0,RGB1
367,3,0xD508C473,0,RGB1
367,2,0xD508C473,0,RGB1
264,2,0xE482794F,0,RGB1
264,3,0xE482794F,0,RGB1
265,2,0xE4C664ED,0,RGB1
265,3,0xE4C664ED,0,RGB1
369,2,0xE5B771DB,0,RGB1
369,3,0xE5B771DB,0,RGB1
445,3,0xE868BE4B,0,RGB1
445,2,0xE868BE4B,0,RGB1
373,2,0xF2D44FF0,0,RGB1
373,1,0xF2D44FF0,0,RGB1
374,2,0xF3F2C86E,0,RGB1
374,1,0xF3F2C86E,0,RGB1
376,2,0xF83CA44F,0,RGB1
376,1,0xF83CA44F,0,RGB1
377,1,0xFAB2F795,0,RGB1
377,3,0xFAB2F795,0,RGB1
272,2,0x0E67B201,0,RGB1
272,1,0x0E67B201,0,RGB1
273,1,0x1168BEEC,0,RGB1
273,2,0x1168BEEC,0,RGB1
275,1,0x2718BF40,0,RGB1
275,2,0x2718BF40,0,RGB1
280,2,0x4AB66D17,0,RGB1
280,3,0x4AB66D17,0,RGB1
1224,3,0x5627F96D,0,RGB1
1224,2,0x5627F96D,0,RGB1
287,3,0x7DDA22A6,0,RGB1
287,2,0x7DDA22A6,0,RGB1
323,3,0x7E796A94,0,RGB1
323,2,0x7E796A94,0,RGB1
289,2,0x8666630A,0,RGB1
289,1,0x8666630A,0,RGB1
289,3,0x8666630A,0,RGB1
290,2,0x892BC6F2,0,RGB1
290,3,0x892BC6F2,0,RGB1
291,3,0x9C2CC0B7,0,RGB1
291,2,0x9C2CC0B7,0,RGB1
292,3,0x9F4FB8AE,0,RGB1
292,2,0x9F4FB8AE,0,RGB1
293,1,0xAF4136EC,0,RGB1
293,2,0xAF4136EC,0,RGB1
293,3,0xAF4136EC,0,RGB1
296,1,0xC49C00BF,0,RGB1
296,2,0xC49C00BF,0,RGB1
297,2,0xCA90F1B3,0,RGB1
297,3,0xCA90F1B3,0,RGB1
298,2,0xCE5EDFFF,0,RGB1
298,3,0xCE5EDFFF,0,RGB1
300,2,0xD0E4FF88,0,RGB1
300,1,0xD0E4FF88,0,RGB1
301,2,0xDF0AC5CC,0,RGB1
301,1,0xDF0AC5CC,0,RGB1
308,2,0x123CCA6C,0,RGB1
308,3,0x123CCA6C,0,RGB1
1228,2,0x1E487F3F,0,RGB1
1228,3,0x1E487F3F,0,RGB1
312,1,0x29707DF8,0,RGB1
312,2,0x29707DF8,0,RGB1
316,2,0x62074AF6,0,RGB1
316,3,0x62074AF6,0,RGB1
317,2,0x670D1E54,0,RGB1
317,1,0x670D1E54,0,RGB1
353,2,0x69F71839,0,RGB1
353,3,0x69F71839,0,RGB1
319,2,0x6D67E54D,0,RGB1
319,1,0x6D67E54D,0,RGB1
322,3,0x7B81942A,0,RGB1
322,2,0x7B81942A,0,RGB1
324,2,0x85704217,0,RGB1
324,3,0x85704217,0,RGB1
325,2,0x8B08CBBA,0,RGB1
325,1,0x8B08CBBA,0,RGB1
326,1,0xB2F43860,0,RGB1
326,3,0xB2F43860,0,RGB1
326,2,0xB2F43860,0,RGB1
327,2,0xB6E807D3,0,RGB1
327,1,0xB6E807D3,0,RGB1
328,3,0xB8841406,0,RGB1
328,2,0xB8841406,0,RGB1
331,2,0xC381C185,0,RGB1
331,1,0xC381C185,0,RGB1
442,2,0xCAD07CA0,0,RGB1
442,3,0xCAD07CA0,0,RGB1
334,2,0xE0690A17,0,RGB1
334,1,0xE0690A17,0,RGB1
335,2,0xE4396319,0,RGB1
335,3,0xE4396319,0,RGB1
337,3,0xEC2971CF,0,RGB1
337,2,0xEC2971CF,0,RGB1
338,1,0xF20C0C64,0,RGB1
338,2,0xF20C0C64,0,RGB1
338,3,0xF20C0C64,0,RGB1
344,2,0x13A7B34F,0,RGB1
344,3,0x13A7B34F,0,RGB1
345,1,0x1BFBC891,0,RGB1
345,3,0x1BFBC891,0,RGB1
345,2,0x1BFBC891,0,RGB1
349,3,0x51842CD5,0,RGB1
349,1,0x51842CD5,0,RGB1
349,2,0x51842CD5,0,RGB1
350,2,0x5A06D966,0,RGB1
350,3,0x5A06D966,0,RGB1
352,2,0x5E2A07A9,0,RGB1
352,1,0x5E2A07A9,0,RGB1
357,2,0x87795D14,0,RGB1
357,3,0x87795D14,0,RGB1
358,2,0x9726AC61,0,RGB1
358,3,0x9726AC61,0,RGB1
359,1,0xA0D41357,0,RGB1
359,2,0xA0D41357,0,RGB1
360,1,0xB07F020F,0,RGB1
360,2,0xB07F020F,0,RGB1
363,2,0xC08AE99A,0,RGB1
363,1,0xC08AE99A,0,RGB1
364,2,0xC48BFD48,0,RGB1
364,1,0xC48BFD48,0,RGB1
368,2,0xE56BFB25,0,RGB1
368,3,0xE56BFB25,0,RGB1
370,1,0xE7A589E8,0,RGB1
370,2,0xE7A589E8,0,RGB1
371,2,0xE9A65B8B,0,RGB1
371,3,0xE9A65B8B,0,RGB1
375,3,0xF4D76966,0,RGB1
375,2,0xF4D76966,0,RGB1
378,2,0x076385AE,0,RGB1
378,1,0x076385AE,0,RGB1
378,3,0x076385AE,0,RGB1
380,3,0x16345A1A,0,RGB1
380,2,0x16345A1A,0,RGB1
381,3,0x182369DF,0,RGB1
